index,sp600,sp100,r^2,beta
232,FFBC,COF,0.77514557,0.1706316023
524,TWI,DHR,0.7748937367,0.06049693897
481,ETD,COF,0.7748571396,0.2823261189
237,DISH,CSCO,0.7747608797,-0.3231140033
143,PRFT,NVDA,0.7737335916,0.0695496287
63,MSGS,C,0.773201775,12.48363495
300,ECPG,COF,0.7728139342,0.3854092582
85,SMPL,CMCSA,0.7719178444,1.564431474
581,NTGR,UNP,0.7715680764,0.09695867469
324,SLVM,V,0.7714589482,0.319386277
184,WGO,GD,0.7713123268,0.395154483
91,GMS,UPS,0.7708717905,0.5009272946
460,BHLB,FDX,0.7707403364,0.1342265738
296,GBX,UNP,0.7701558823,0.3130461952
196,PPBI,COF,0.770008175,0.2117833439
240,JACK,RTX,0.769972398,0.6315574441
244,SMTC,TMO,0.7699018986,0.05947998328
173,CPK,ABT,0.7679068735,0.9674066141
102,BOOT,WBA,0.7672067663,1.145396781
188,BOH,GD,0.7654536486,0.5092681793
76,HTH,UPS,0.7632097732,0.110933149
307,XHR,CAT,0.7622593188,0.05571043784
379,BKE,UPS,0.7613438996,0.1974782047
135,CVBF,USB,0.7612364634,0.4816892909
16,HP,LLY,0.7608571915,0.08515242536
291,ELME,CVX,0.7597323521,-0.05343423678
453,HOUS,PFE,0.7577420529,-0.398404682
69,ABM,LLY,0.7574124799,-0.1485977977
560,LQDT,ABT,0.7574022376,0.3055287608
517,CNXN,UNP,0.757251465,-0.1595308251
183,TDS,DHR,0.7571003204,0.1844686714
338,ASTE,GD,0.7567797171,0.4987048529
52,DV,LMT,0.7553547118,0.07044250809
535,BANC,SCHW,0.7540705454,0.2053976531
73,CORT,MA,0.7524965492,0.0905043065
211,COHU,DHR,0.7524404195,0.1116177895
161,RC,V,0.7520651494,0.04837181985
395,SBH,SBUX,0.7517371201,0.2172633941
416,NX,BK,0.7513215068,1.439058478
140,IDCC,TMO,0.7501739258,0.1230008425
204,LRN,WBA,0.7494544271,-0.6346157446
117,LGIH,HD,0.7493296879,1.266454505
544,DBI,AIG,0.7483020959,0.7960115897
20,AAON,CAT,0.7479035974,0.3489621513
354,UFPT,NVDA,0.7474987499,0.232342688
449,MMI,SBUX,0.7450744726,0.3372328284
129,DORM,NKE,0.7450612482,0.5887491801
555,JRVR,JPM,0.7450586819,0.2277834161
459,SCSC,NVDA,0.7432917206,0.07966309105
301,WKC,F,0.7426192671,1.630697081
378,SSTK,BA,0.7419746888,0.1365916503
380,IRBT,TMO,0.7417949965,0.0664630785
384,ADEA,UNP,0.7413615651,0.04212825376
421,MCRI,GD,0.7409473805,0.322593791
553,OSUR,CVX,0.73963333,-0.0820282677
19,BCPC,GD,0.7388990036,0.9496304415
454,GDEN,COF,0.7380559144,0.4226829946
533,CCSI,LLY,0.7378542007,-0.1089670181
333,RWT,DHR,0.737574222,0.0197850055
134,FCPT,CMCSA,0.737453437,0.3191167123
446,SAFE,GD,0.7374340325,0.1824878658
27,ASO,NKE,0.7373685095,0.7867884472
558,CLFD,WBA,0.7372269416,0.9236566075
334,AZZ,PM,0.735533686,0.9703974327
369,EMBC,FDX,0.7353328344,0.2205509503
284,NWN,ACN,0.7339362039,-0.07045726614
519,SNBR,SPG,0.7339111976,0.6552870909
297,CTS,GD,0.7336470702,0.3505927275
127,KWR,VZ,0.7328422758,5.467203853
114,SITC,AIG,0.7327294108,0.271927238
197,PLUS,VZ,0.7310248714,1.768018741
201,ROIC,COST,0.7292447523,0.02828596793
476,PRA,SCHW,0.729026953,0.1883103789
356,CRK,COP,0.7276832871,0.09796240904
90,NPO,TMO,0.7273494374,0.2377060754
508,CHUY,CVX,0.727221144,-0.2595019796
67,EVTC,UPS,0.7269924755,0.1216703747
39,FSS,CMCSA,0.7269255855,1.739959675
283,MYGN,GD,0.7263156287,0.1892020925
266,AKR,AIG,0.7254401594,0.334178137
335,PACW,BK,0.725197708,0.2771797368
503,TILE,TXN,0.7244086922,0.1496511322
491,HZO,UPS,0.7234652016,0.166948239
169,CTRE,LIN,0.7212419813,0.04490997412
120,SHOO,UPS,0.7207717623,0.1321655316
267,EXPI,CSCO,0.7200145743,-0.6873026303
111,JJSF,COST,0.7199041691,0.283690957
342,HWKN,ACN,0.7198370087,0.2325952674
387,SPNT,PM,0.7198304037,0.2409278089
439,TMST,FDX,0.7195864931,0.1520024525
62,CCOI,FDX,0.7185289032,0.2642643348
148,KMT,GD,0.7174445872,0.1203871798
473,GES,IBM,0.717352788,0.688476627
124,ABR,CAT,0.716812416,0.06559824614
162,OSIS,NVDA,0.7160997651,0.3370127335
70,ALRM,LIN,0.7150066937,0.1439899965
467,DCOM,FDX,0.7129281817,0.121998955
273,MC,LIN,0.7123463802,0.261416068
427,DIN,UPS,0.7105820712,0.1801340383
234,VRTS,BLK,0.7105023767,0.2988717655
425,AHCO,WBA,0.7103072237,0.3329515414
228,PATK,TMO,0.7101436533,0.1457053417
30,FHB,LMT,0.707171893,0.03013356689
480,PRLB,TMO,0.7068720569,0.04083931371
330,CXW,DHR,0.7065216209,0.03314718923
178,GFF,HD,0.7061568282,0.2533734733
191,NEO,AAPL,0.7061064954,0.08234013037
8,FN,ABBV,0.7054474853,-7.00444712
437,SAH,CSCO,0.7042936644,0.6839107555
537,QNST,FDX,0.7041011131,0.08385097335
