index,sp600,sp100,r^2,beta
327,RNST,WBA,0.8603705502,0.4917805607
431,MATV,LLY,0.8601629856,-0.03855007372
57,YELP,NFLX,0.860092542,0.07026652433
549,HAFC,COF,0.858452671,0.2177489192
94,MAC,SPG,0.8583698413,0.1626045653
557,HVT,JPM,0.8577727738,0.5213375909
529,MCW,TMO,0.8575578414,0.02336859284
541,KAMN,GD,0.8575111276,0.2512396707
584,SCVL,NKE,0.8571762492,0.3546573864
339,MRTN,WBA,0.8563275874,0.2654838039
142,KTB,WBA,0.8561169607,0.9312531684
279,TTMI,LMT,0.8559551882,0.05288133841
556,OSPN,AAPL,0.855893258,0.05889246181
428,STBA,COF,0.8557870317,0.3184955679
328,APAM,BLK,0.8557529891,0.06204693981
87,SFBS,FDX,0.8552626661,0.4703874665
401,AVNS,UNP,0.8545220153,0.1339852053
377,FCF,UPS,0.8541304129,0.06287832611
285,ALGT,WBA,0.8536047616,1.923617826
542,XPER,UNP,0.8532525093,0.09013221613
49,OTTR,WBA,0.8527334577,1.604288318
105,HUBG,JPM,0.8525527862,0.6912613589
288,PLAB,GD,0.8514640002,0.371938997
494,JXN,MA,0.8514426463,0.2207184561
31,MMSI,ABT,0.8504685132,1.003208232
176,SFNC,COF,0.849498027,0.1871252584
164,IBTX,UPS,0.8490359361,0.3645777135
298,LUMN,NKE,0.8489514976,0.03127749062
103,KFY,UPS,0.8488752984,0.2531277701
222,DEI,ACN,0.848174384,0.04335666642
325,TRMK,WBA,0.847522667,0.3137866119
5,RMBS,PYPL,0.8471411732,1.165533805
159,RXO,UNP,0.8460966917,0.1075420311
488,TMP,WBA,0.846068047,0.7894787963
471,OFIX,RTX,0.8459849508,0.5548831908
78,PBH,WBA,0.8448573466,0.7032914972
583,UVE,IBM,0.8447263483,-0.2534786759
504,IIIN,BLK,0.8443745184,0.1151054165
133,CVCO,HD,0.8443261817,2.703462932
83,PIPR,VZ,0.8440840693,6.452798657
226,DVAX,LMT,0.8439879845,0.03420553823
88,ANF,IBM,0.8436927711,1.786205232
438,VBTX,UNP,0.8434121436,0.114361949
71,ITRI,UPS,0.8429272145,0.3517991635
566,CENT,UPS,0.8427740987,0.2186437359
534,CLDT,MA,0.8426500444,0.03154756787
565,HCI,IBM,0.8416280161,-0.8499876813
